sex,age,state,category,product,price,quantity,purchase_date,total
female,20,netherland,appliances,lighting,100.00,6,2019-03-19,600
female,33,spain,gaming,uncharted,30.00,3,2018-05-07,90
female,33,france,fashion,swimwear,75.35,5,2016-08-26,376.75
female,22,colombia,grocery,juice,10.00,8,2018-10-01,80
female,61,colombia,gaming,gta,35.00,9,2018-05-26,315
male,35,colombia,fashion,jewellery,135.80,10,2018-11-26,1358
female,23,colombia,fashion,jewellery,135.80,5,2017-04-11,679
female,64,france,appliances,freezers,120.00,6,2018-07-13,720
female,59,spain,fashion,jewellery,135.80,7,2017-11-14,950.6
male,24,ireland,fashion,jewellery,135.80,3,2019-03-28,407.4
male,45,france,fashion,bag,65.99,3,2017-06-09,197.97
female,42,colombia,gaming,gta,35.00,9,2016-03-18,315
male,48,france,computing,monitors,95.00,4,2019-09-03,380
female,41,ireland,fashion,maternity,165.00,8,2016-12-24,1320
female,57,netherland,fashion,maternity,165.00,9,2019-12-01,1485
female,42,spain,health,perfume,90.00,3,2018-09-14,270
male,21,netherland,health,condoms,12.50,1,2016-01-22,12.5
female,70,nigeria,appliances,lighting,100.00,7,2016-08-18,700
male,33,colombia,health,perfume,90.00,2,2019-10-11,180
male,78,colombia,fashion,bag,65.99,9,2017-10-05,593.91
male,40,spain,grocery,coffee,12.50,9,2016-04-10,112.5
male,69,nigeria,appliances,freezers,120.00,7,2017-06-13,840
female,46,colombia,health,supplements,40.00,6,2017-08-27,240
male,42,colombia,appliances,lighting,100.00,4,2018-05-04,400
female,51,colombia,fashion,jewellery,135.80,8,2018-01-25,1086.4
female,58,spain,computing,ups,140.35,2,2016-06-07,280.7
male,67,nigeria,appliances,kettles,55.99,5,2017-10-29,279.95
male,63,netherland,computing,monitors,95.00,2,2016-08-20,190
female,80,spain,computing,ups,140.35,10,2019-02-28,1403.5
male,18,france,gaming,uncharted,30.00,2,2019-08-09,60
female,23,spain,grocery,rice,85.00,3,2017-06-24,255
male,22,netherland,grocery,pasta,8.00,1,2019-06-22,8
male,33,colombia,grocery,noodles,13.00,6,2018-07-28,78
female,39,nigeria,appliances,lighting,100.00,9,2017-03-02,900
female,70,nigeria,grocery,juice,10.00,5,2017-10-28,50
male,21,america,computing,keyboards,40.00,4,2019-12-17,160
female,66,america,appliances,lighting,100.00,6,2019-10-14,600
male,46,america,health,pastes,27.50,8,2017-04-13,220
female,28,nigeria,computing,scanners,170.00,3,2016-10-13,510
female,32,spain,gaming,fifa,35.00,3,2016-08-13,105
male,24,spain,fashion,jewellery,135.80,7,2016-07-13,950.6
male,59,ireland,fashion,swimwear,75.35,8,2017-01-29,602.8
female,65,france,gaming,fallout,99.99,1,2017-01-21,99.99
female,39,france,health,supplements,40.00,2,2018-11-29,80
male,37,france,appliances,dishwashers,90.00,3,2016-08-22,270
female,39,colombia,computing,keyboards,40.00,1,2017-01-02,40
male,43,spain,health,condoms,12.50,7,2017-09-24,87.5
female,65,america,appliances,dishwashers,90.00,4,2016-07-04,360
male,23,ireland,grocery,tea,10.00,5,2016-05-07,50
female,62,ireland,appliances,lighting,100.00,9,2018-12-31,900
female,58,nigeria,grocery,pasta,8.00,4,2017-08-09,32
male,42,spain,fashion,wallet,17.35,9,2016-12-16,156.15
female,60,ireland,appliances,dishwashers,90.00,6,2019-09-03,540
male,23,nigeria,health,supplements,40.00,3,2016-03-20,120
male,56,colombia,computing,servers,250.00,5,2016-06-27,1250
male,75,ireland,computing,mice,9.00,2,2016-04-10,18
male,30,nigeria,computing,ups,140.35,1,2016-09-30,140.35
male,47,america,computing,ups,140.35,9,2019-07-26,1263.15
male,35,america,fashion,maternity,165.00,6,2017-04-06,990
female,47,france,gaming,uncharted,30.00,8,2017-07-06,240
male,73,america,appliances,dishwashers,90.00,4,2017-12-31,360
male,72,netherland,computing,servers,250.00,9,2019-07-27,2250
male,56,nigeria,computing,scanners,170.00,7,2019-12-25,1190
female,65,netherland,health,supplements,40.00,9,2018-10-18,360
female,57,netherland,gaming,battlefield,40.00,2,2016-02-11,80
male,52,nigeria,gaming,fifa,35.00,8,2018-06-01,280
male,71,netherland,fashion,bag,65.99,1,2018-12-30,65.99
female,50,france,grocery,tea,10.00,1,2019-10-11,10
